uri,label,all_labels,parents
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbatementAbuse,abatement abuse,abatement abuse,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/environemntal_mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbuseOfContractorBidOrProposalInformation,abuse of contractor bid or proposal information,abuse of contractor bid or proposal information,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbuseOfNonPublicInformation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AbusiveReturnPreparation,abusive return preparation,abusive return preparation,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/TaxFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AccountTakeover,account takeover,account takeover,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CyberExploit
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AccreditationFraudMechanism,accreditation fraud mechanism,accreditation fraud mechanism,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AccreditingBody,accrediting body,accrediting body,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/GovernmentalUnit
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AcquiredUSCitizen,acquired US citizen,acquired US citizen,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/USCitizen
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Actor,actor,actor,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PartyInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrativeOversightBurden,administrative oversight burden,administrative oversight burden,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ImpactOnOversightActivity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrativelyCapableEntity,administratively capable entity,administratively capable entity,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AgentInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdministrativelyCapableIndividual,administratively capable individual,administratively capable individual,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AgentInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdvancedFeeScam,advance fee scam,advance fee scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Scam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AdvisoryServiceAndCounseling,advisory service and counseling,advisory service and counseling; Advisory service and counseling,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FundingStream
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AffectedIndividual,individual affected by emergency,individual affected by emergency,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Person
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AffinityFraud,affinity fraud,affinity fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ConfidenceFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AffinityFraudMechanism,affinity fraud mechanism,affinity fraud mechanism,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AgencyResourceImpact,agency resource impact,agency resource impact,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/OversightResourceImpact
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AgentInRole,agent in role,agent in role,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ThingInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Alias,alias,alias,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FictitiousIndividual
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AlteredDocument,altered document,altered document,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DocumentManipulation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AntiquitiesTrafficking,antiquities trafficking,antiquities trafficking,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Trafficking
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AppraisalFraud,appraisal fraud,appraisal fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/MortgageFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ArmedConflict,armed conflict,armed conflict,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Event
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AssetMisappropriation,asset misappropriation,asset misappropriation,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/WorkplaceFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Asylee,asylee,asylee,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Immigrant
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/AutomaticSubscriptionRenewalScam,automatic subscription renewal scam,automatic subscription renewal scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Scam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Autosubscribing,autosubscribing,autosubscribing,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/TelecommunicationsExploit
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Backdating,backdating,backdating,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DocumentManipulation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BallotBoxStuffing,ballot box stuffing,ballot box stuffing,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/electionFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BankruptcyToAvoidForeclosure,bankruptcy to avoid foreclosure scam,bankruptcy to avoid foreclosure scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/MortgageScheme
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BaseLevelConstructionContractFraud,base level construction contract fraud,base level construction contract fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BenchAndSwitchScam,bench and switch scam,bench and switch scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Scam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BenefitFraud,benefit fraud,benefit fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BeneficiaryFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BidRotation,bid-rotation,bid-rotation,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonCompetitiveBidding
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BidSplitting,bid-splitting,bid-splitting,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BillingFraud,billing fraud,billing fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PaymentFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BillingManipulation,billing manipulation,billing manipulation,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Birth,birth,birth,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/QualifyingLifeEvent
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BlackLungBenefitsFraud,black lung benefits fraud,black lung benefits fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BeneficiaryFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Blackmail,blackmail,blackmail,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Coercion
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BotNetworkOperator,bot-network operator,bot-network operator,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Criminal
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BreachofPublicTrust,breach of public trust,breach of public trust,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Corruption
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BuilderBailoutScam,builder bailout scam,builder bailout scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/MortgageScheme
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BulkCashSmuggling,bulk cash smuggling,bulk cash smuggling,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Bundling,bundling,bundling,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Misrepresentation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BusinessEmailCompromise,business email compromise scam,business email compromise scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Scam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BusinessIdentityTheftRefundFraud,business identity theft refund fraud,business identity theft refund fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/RefundFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BusinessOwner,entity owner,entity owner,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PartyInRole
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BustOutFraud,bust out fraud,bust out fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BusinessIdentityTheft
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/COVID-19_fraud,COVID-19 fraud,COVID-19 fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/public_emergency_fraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Candidate,candidate,candidate,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PoliticallyExposedPerson
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CardNotPresentScam,card not present scam,card not present scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CreditCardScam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CardPresentScam,card present scam,card present scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CreditCardScam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Cartel,cartel,cartel,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Conspiracy
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CashLarceny,cash larceny,cash larceny,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Catalyst,catalyst,catalyst,
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CategoricalEligibilityFraud,categorical eligibility fraud,categorical eligibility fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/BeneficiaryFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CellphoneFraud,cellphone fraud,cellphone fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FraudActivity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CellphoneSubscriberFraud,cellphone subscriber fraud,cellphone subscriber fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CellphoneFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CensusRelatedFraud,census-related fraud,census-related fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/GovernmentImpersonation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ChangeOrderAbuse,change order abuse,change order abuse,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ChannelStuffing,channel stuffing,channel stuffing,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CookingTheBooks
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ChceckScam,check scam,check scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Scam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CheckKiting,check kiting,check kiting,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FinancialTransactionExploit
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CheckTampering,check tampering,check tampering,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ChildMortalityRate,child mortality rate,child mortality rate,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/federalMeasurement
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ChunkingFraud,chunking fraud,chunking fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/MortgageFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CleanAndRemovalDisasterAssistance,clean and removal disaster assistance,clean and removal disaster assistance,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DisasterAssistance
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ClearWeb,clear web,clear web,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Internet
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Clientelism,clientelism,clientelism,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ConflictOfInterest
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CoercedFacilitator,coerced facilitator,coerced facilitator,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Facilitator
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Coercion,coercion,coercion,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CollusiveBidding,collusive bidding,collusive bidding,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Collusion; https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonCompetitiveBidding
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CommerceAndHousingCredit,commerce and housing credit,commerce and housing credit; Commerce and housing credit,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ProgramArea
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CompensationBenefitFraud,workers compensation benefit fraud,workers compensation benefit fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/claimantFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ComplementaryBidding,complementary bidding,complementary bidding,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/NonCompetitiveBidding
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ComplicitFacilitator,complicit facilitator,complicit facilitator,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Facilitator
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ConcealedLiabilitiesAndExpenses,concealed liabilities and expenses,concealed liabilities and expenses,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CookingTheBooks; https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FinancialStatementFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractFraudMechanism,federal contract fraud mechanism,federal contract fraud mechanism,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ContractRepairFraud,contract repair fraud,contract repair fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DisasterAssistanceFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ControlEnvironmentInternalControlStandard,control environment internal control standard,control environment internal control standard,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/InternalControl
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ControlactivityInternalControlStandard,control activity internal control standard,control activity internal control standard,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/InternalControl
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CookingTheBooks,cooking the books,cooking the books,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/GrantFraudMechanism; https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CoordinatedSchemeMode,coordinated scheme mode,coordinated scheme mode,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/SchemeMode
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CounterfeitCahierCheck,counterfeit cashier check scam,counterfeit cashier check scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ChceckScam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CouponFraud,coupon fraud,coupon fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ConsumerFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CreditAndDebitCardFraud,credit and debit card fraud,credit and debit card fraud,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FinancialInstitutionFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CriminalAbuseOfUnionPower,criminal abuse of union power,criminal abuse of union power,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Corruption
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CrisisCounselingDisasterAssistance,crisis counseling disaster assistance,crisis counseling disaster assistance,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DisasterAssistance
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Cronyism,cronyism,cronyism,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/ConflictOfInterest
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CrossSiteScripting,cross-site scripting,cross-site scripting,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CyberExploit
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CustomsBroker,customs broker,customs broker,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Business
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CustomsDuty,customs duty,customs duty,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/RevenueStream
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/CyberExploit,cyber exploit,cyber exploit,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DarkMoney,dark money,dark money,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Corruption
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DarkMoneyGroup,dark money group,dark money group,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DarkNet,darknet,darknet,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DeepWeb
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DavisBaconFraudViolation,Davis-Bacon violation,Davis-Bacon violation,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/WageFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DebtEliminationScam,debt elimination scam,debt elimination scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Scam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DebtOfferInCompromiseMill,debt offer in compromise mill,debt offer in compromise mill,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DeceasedRecipientScam,deceased recipient scam,deceased recipient scam,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Scam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DeceptiveRecruitmentPractice,deceptive recruitment practice,deceptive recruitment practice,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/employmentFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Declaration,declaration for federal assistance,declaration for federal assistance,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/EventResponse
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DeductibleOrCoPaymentNonCollection,deductible or co-payment non-collection,deductible or co-payment non-collection,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/HealthcareFraudMechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DeepFake,deep fake,deep fake,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Misrepresentation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DeepWeb,deep web,deep web,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Internet
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DefeatDevice,defeat device,defeat device,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/emissionsTampering
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DepartmentOfMotorVehicles,department of motor vehicles,department of motor vehicles,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/GovernmentalUnit
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DesignatedArea,designated area,designated area,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Destruction_of_nature,destruction of nature,destruction of nature,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/environemntal_mechanism
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DiplomaMill,diploma mill,diploma mill,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FunctionalEntity
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DirectPaymentForSpecificUse,direct payment for specific use,direct payment for specific use; Direct payment for specific use,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FundingStream
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DirectPaymentForUnrestrictedUse,Direct payment for unrestricted use,Direct payment for unrestricted use; direct payment for unrestricted use,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/FundingStream
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DirectSchemeMode,direct scheme mode,direct scheme mode,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/SchemeMode
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DisasterCaseManagementAssistance,federal disaster case management assistance,federal disaster case management assistance,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/DisasterAssistance
